timestamp,value,prediction_training,label,prediction_0,prediction_1,prediction_2,prediction_3,prediction_4
2014-03-09 08:39:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 08:44:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 08:49:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 08:54:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 08:59:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 09:04:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 09:09:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 09:14:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 09:19:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 09:24:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 09:29:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 09:34:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 09:39:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 09:44:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 09:49:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 09:54:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 09:59:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 10:04:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 10:09:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 10:14:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 10:19:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 10:24:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 10:29:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 10:34:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 10:39:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 10:44:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 10:49:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 10:54:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 10:59:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 11:04:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 11:09:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 11:14:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 11:19:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 11:24:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 11:29:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 11:34:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 11:39:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 11:44:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 11:49:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 11:54:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 11:59:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 12:04:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 12:09:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 12:14:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 12:19:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 12:24:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 12:29:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 12:34:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 12:39:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 12:44:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 12:49:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 12:54:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 12:59:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 13:04:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 13:09:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 13:14:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 13:19:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 13:24:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 13:29:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 13:34:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 13:39:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 13:44:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 13:49:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 13:54:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 13:59:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 14:04:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 14:09:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 14:14:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 14:19:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 14:24:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 14:29:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 14:34:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 14:39:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 14:44:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 14:49:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 14:54:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 14:59:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 15:04:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 15:09:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 15:14:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 15:19:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 15:24:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 15:29:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 15:34:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 15:39:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 15:44:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 15:49:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 15:54:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 15:59:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 16:04:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 16:09:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 16:14:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 16:19:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 16:24:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 16:29:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 16:34:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 16:39:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 16:44:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 16:49:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 16:54:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 16:59:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 17:04:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 17:09:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 17:14:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 17:19:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 17:24:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 17:29:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 17:34:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 17:39:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 17:44:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 17:49:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 17:54:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 17:59:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 18:04:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 18:09:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 18:14:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 18:19:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 18:24:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 18:29:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 18:34:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 18:39:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 18:44:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 18:49:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 18:54:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 18:59:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 19:04:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 19:09:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 19:14:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 19:19:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 19:24:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 19:29:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 19:34:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 19:39:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 19:44:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 19:49:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 19:54:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 19:59:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 20:04:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 20:09:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 20:14:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 20:19:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 20:24:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 20:29:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 20:34:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 20:39:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 20:44:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 20:49:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 20:54:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 20:59:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 21:04:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 21:09:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 21:14:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 21:19:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 21:24:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 21:29:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 21:34:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 21:39:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 21:44:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 21:49:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 21:54:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 21:59:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 22:04:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 22:09:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 22:14:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 22:19:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 22:24:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 22:29:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 22:34:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 22:39:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 22:44:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 22:49:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 22:54:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 22:59:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 23:04:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 23:09:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 23:14:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 23:19:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 23:24:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 23:29:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 23:34:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 23:39:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 23:44:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 23:49:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 23:54:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-09 23:59:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-10 00:04:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-10 00:09:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-10 00:14:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-10 00:19:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-10 00:24:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-10 00:29:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-10 00:34:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-10 00:39:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-10 00:44:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-10 00:49:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-10 00:54:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-10 00:59:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-10 01:04:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-10 01:09:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-10 01:14:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-10 01:19:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-10 01:24:00,0.0,0.0,0,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-10 01:29:00,0.0,0.0,1,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-10 01:34:00,0.0,0.0,1,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
2014-03-10 01:39:00,0.0,0.0,1,0.07254724949598312,0.05543728172779083,0.05175932124257088,0.052750665694475174,0.028759051114320755
